UNIVERSITY_ID,COURSE,UNIVERSITY_GPA,HS_GPA,Programs,MAJOR,Transfer,FULL_TITLE,Year,Gender,Generation,Semester,Term,URM
a9a33a3b-f6e9-4c23-830d-e286d0486a49,RA1,3.394746451,3.7,Undergraduate,Major 27,New First-Year,Research Analytics Course Sample 1,Fourth,Female,Cont.Gen,Fall,Fall 2018,Non-URM
e0ee4ce5-08c0-4328-9817-73fca97a66ee,RA1,2.215685666,4.1,Undergraduate,Major 28,New First-Year,Research Analytics Course Sample 1,Fourth,Male,Cont.Gen,Fall,Fall 2018,Non-URM
ec5705a0-d4aa-440d-84a7-aa072b6203e2,RA1,0.978260649,2.8,Undergraduate,Major 5,New First-Year,Research Analytics Course Sample 1,Second,Female,Cont.Gen,Fall,Fall 2018,Non-URM
dcaeb921-db3b-4e95-beeb-05129feb23fc,RA3,2.089234315,3.7,Undergraduate,Major 1,New First-Year,Research Analytics Course Sample 3,Second,Female,Cont.Gen,Fall,Fall 2018,Non-URM
4b36abfd-f7a8-4709-a1ad-8b19f7bb69bf,RA3,2.940884767,3.8,Undergraduate,Major 1,New First-Year,Research Analytics Course Sample 3,Third,Female,First.Gen,Fall,Fall 2018,Non-URM
e78afc1f-7c60-4b9c-8107-42581f8bc93d,RA3,1.977996186,3.8,Undergraduate,Major 1,New First-Year,Research Analytics Course Sample 3,Third,Female,First.Gen,Fall,Fall 2018,URM
533543ec-2880-4ff0-a061-762343857cac,RA3,3.476486132,4.2,Undergraduate,Major 1,New First-Year,Research Analytics Course Sample 3,Third,Female,Cont.Gen,Fall,Fall 2018,Non-URM
e3518661-c7c2-4a76-aa5b-c52bd438ee57,RA2,3.593467151,4.1,Undergraduate,Major 57,New First-Year,Research Analytics Course Sample 2,Second,Female,Cont.Gen,Fall,Fall 2018,Non-URM
04b7d5de-39d4-45a4-bd57-f44b4c1e34cc,RA2,2.360327527,3,Undergraduate,Major 14,New First-Year,Research Analytics Course Sample 2,Third,Male,Cont.Gen,Fall,Fall 2018,Non-URM
06f58346-028d-46e2-9b51-b76ad7ab0a53,RA2,2.916047609,3.9,Undergraduate,Major 1,New First-Year,Research Analytics Course Sample 2,Third,Female,Cont.Gen,Fall,Fall 2018,Non-URM
22948171-7d6a-417b-ac56-18f905d1d2cd,RA2,2.353004967,3,Undergraduate,Major 1,New First-Year,Research Analytics Course Sample 2,Third,Male,First.Gen,Fall,Fall 2018,URM
4826e889-9a1a-4fcd-9bf6-b802d75d50a0,RA2,2.787707547,3.7,Undergraduate,Major 14,New First-Year,Research Analytics Course Sample 2,Second,Male,Cont.Gen,Fall,Fall 2018,Non-URM
e29aa118-210d-46fa-bb5f-2a22695090fc,RA2,2.293682609,3.6,Undergraduate,Major 14,New First-Year,Research Analytics Course Sample 2,Second,Female,Cont.Gen,Fall,Fall 2018,Non-URM
9038529e-1ff8-4ce8-b79d-963b4f32d3d3,RA2,1.684669257,3.4,Undergraduate,Major 14,New First-Year,Research Analytics Course Sample 2,Third,Female,Cont.Gen,Fall,Fall 2018,Non-URM
5e12d20a-7015-458c-b711-81620fcfa597,RA3,3.558335501,3.8,Undergraduate,Major 1,New First-Year,Research Analytics Course Sample 3,Third,Female,Cont.Gen,Fall,Fall 2018,Non-URM
7a57c358-c5c2-415e-8989-305ffec99219,RA3,2.572383109,3.5,Undergraduate,Major 1,New First-Year,Research Analytics Course Sample 3,Third,Female,Cont.Gen,Fall,Fall 2018,Non-URM
fb1a1605-b683-43b4-914d-423c550c77b9,RA3,2.124582963, ,Undergraduate,Major 1,New Transfer,Research Analytics Course Sample 3,Third,Male,First.Gen,Fall,Fall 2018,Non-URM
adf979bd-5e4d-4da9-a2df-b6d893f5df41,RA3,,3.7,Undergraduate,Major 1,New Transfer,Research Analytics Course Sample 3,Third,Female,First.Gen,Fall,Fall 2018,Non-URM
b97aba6b-802d-4661-9355-1d826729593a,RA3,3.076399368,3.6,Undergraduate,Major 1,New First-Year,Research Analytics Course Sample 3,Fourth,Female,Cont.Gen,Fall,Fall 2018,Non-URM
dbbba6d8-2623-4a75-89ee-0454a5bf596f,RA3,2.136410282, ,Undergraduate,Major 33,New Transfer,Research Analytics Course Sample 3,Fourth,Female,Cont.Gen,Fall,Fall 2018,Non-URM
fa6d2cb8-ad1c-4af9-b3c3-6acafc76ba44,RA3,2.065278568,3.7,Undergraduate,Major 1,New First-Year,Research Analytics Course Sample 3,Third,Female,Cont.Gen,Fall,Fall 2018,Non-URM
38ca2bb3-2624-42d0-afb0-5041dd28ad0c,RA3,2.233061423,3.8,Undergraduate,Major 1,New First-Year,Research Analytics Course Sample 3,Third,Female,Cont.Gen,Fall,Fall 2018,Non-URM
1c0e1154-dd07-43a9-aaeb-21f4837c6cef,RA3,2.107229675, ,Undergraduate,Major 1,New Transfer,Research Analytics Course Sample 3,Third,Female,Cont.Gen,Fall,Fall 2018,Non-URM
4c07a00f-7218-44e6-81c1-94780b7d1dc8,RA2,2.698996413,4.1,Undergraduate,Major 14,New First-Year,Research Analytics Course Sample 2,Third,Male,Cont.Gen,Fall,Fall 2018,Non-URM
7305a9e1-2c0e-4182-b32a-dcdfb172d055,RA2,1.900739173, ,Undergraduate,Major 16,New First-Year,Research Analytics Course Sample 2,Fourth,Male,Unknown,Fall,Fall 2018,Non-URM
5db52c07-b910-467a-bfe8-f8f28adb6fd5,RA2,2.1460313,3.6,Undergraduate,Major 14,New First-Year,Research Analytics Course Sample 2,Second,Female,Cont.Gen,Fall,Fall 2018,Non-URM
a25004cc-6838-4346-b280-1151dfcd3f4e,RA2,3.228000587, ,Undergraduate,Major 14,New Transfer,Research Analytics Course Sample 2,Second,Male,Cont.Gen,Fall,Fall 2018,URM
6e81828c-85f1-434d-8d1f-1163a9a796ec,RA2,1.762860056,3.2,Undergraduate,Major 14,New First-Year,Research Analytics Course Sample 2,Second,Male,Cont.Gen,Fall,Fall 2018,URM
c281fea9-c181-4c0c-b85f-daf335b29328,RA1,, ,Undergraduate,Major 5,New Transfer,Research Analytics Course Sample 1,Second,Female,First.Gen,Fall,Fall 2018,Non-URM
b1583fbf-524d-4aa4-83a4-67a9dbcc28f5,RA1,,3.5,Undergraduate,Major 49,New First-Year,Research Analytics Course Sample 1,First,Male,Cont.Gen,Fall,Fall 2018,Non-URM
909994c0-741b-4bef-9fd8-b37e424797a4,RA1,2.934063623,3.8,Undergraduate,Major 27,New First-Year,Research Analytics Course Sample 1,Fourth,Female,Cont.Gen,Fall,Fall 2018,Non-URM
